LCA_CASE_NUMBER;STATUS;LCA_CASE_SUBMIT;DECISION_DATE;VISA_CLASS;LCA_CASE_EMPLOYMENT_START_DATE;LCA_CASE_EMPLOYMENT_END_DATE;LCA_CASE_EMPLOYER_NAME;LCA_CASE_EMPLOYER_ADDRESS;LCA_CASE_EMPLOYER_CITY;LCA_CASE_EMPLOYER_STATE;LCA_CASE_EMPLOYER_POSTAL_CODE;LCA_CASE_SOC_CODE;LCA_CASE_SOC_NAME;LCA_CASE_JOB_TITLE;LCA_CASE_WAGE_RATE_FROM;LCA_CASE_WAGE_RATE_TO;LCA_CASE_WAGE_RATE_UNIT;FULL_TIME_POS;TOTAL_WORKERS;LCA_CASE_WORKLOC1_CITY;LCA_CASE_WORKLOC1_STATE;PW_1;PW_UNIT_1;PW_SOURCE_1;OTHER_WAGE_SOURCE_1;YR_SOURCE_PUB_1;LCA_CASE_WORKLOC2_CITY;LCA_CASE_WORKLOC2_STATE;PW_2;PW_UNIT_2;PW_SOURCE_2;OTHER_WAGE_SOURCE_2;YR_SOURCE_PUB_2;LCA_CASE_NAICS_CODE
I-200-09217-175819;CERTIFIED;10.12.2010;16.12.2010;H-1B;10.01.2011;09.01.2014;HALLA CLIMATE SYSTEMS ALABAMA CORPORATION;676 HALLA-BAMA DRIVE;SHORTER;AL;36075;11-9041.00;Engineering Managers;PROCESS ENGINEER MANAGER;77085;90000;Year;Y;1;SHORTER;AL;77085;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;3363
I-200-09217-692784;CERTIFIED;05.11.2010;12.11.2010;H-1B;15.01.2011;14.01.2014;MEHARRY MEDICAL COLLEGE;1005 DR. D. B. TODD JR. BLVD.;NASHVILLE;TN;37208;19-4021.00;Biological Technicians;SENIOR RESEARCH ASSISTANT;33446;38002;Year;Y;1;NASHVILLE;TN;33446;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;99867
I-200-09217-952880;CERTIFIED;10.12.2010;16.12.2010;H-1B;01.01.2011;31.12.2013;EVISTA CORPORATION;1333 CORPORATE DR;IRVING;TX;75038;15-1051.00;Computer Systems Analysts;SYSTEMS ANALYST;62100;;Year;Y;1;STERLING;VA;62067;Year;Other;OFLC ONLINE DATA CENTER;2010;;;;;;;;541511
I-200-09218-602115;CERTIFIED;29.12.2010;05.01.2011;H-1B;05.01.2011;04.01.2014;NEW ENGLAND IT ASSOCIATES INC;15 NEW ENGLAND EXECUTIVE PARK;BURLINGTON;MA;1803;15-1021.00;Computer Programmers;PROGRAMMER ANALYST;65000;;Year;Y;1;PLYMOUTH;MN;56264;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;541511
I-200-09218-598152;CERTIFIED;05.08.2011;11.08.2011;H-1B;01.10.2011;30.09.2014;A&C INTENATIONAL EXCHANGE CENTER CORP.;932 HUNGERFORD DRIVE;ROCKVILLE;MD;20850;11-1021;General and Operations Managers;MANAGER OF BUSINESS OPERATIONS;31,88;;Hour;N;1;ROCKVILLE;MD;31,88;Hour;OES;OFLC ONLINE DATA CENTER;2011;;;;;;;;541613
I-200-09218-308868;CERTIFIED;10.01.2011;14.01.2011;H-1B;01.02.2011;31.01.2014;GUCCI AMERICA, INC.;685 5TH AVENUE;NEW YORK;NY;10022;11-9199.99;Managers, All Other;DIRECTOR OF LOGISTICS;116022;135000;Year;Y;1;SECAUCUS;NJ;116022;Year;OES;OFLC ONLINE DATA CENTER;2011;;;;;;;;448140
I-200-09218-252176;CERTIFIED;07.07.2011;13.07.2011;H-1B;12.07.2011;11.07.2014;SPECTRASOFT TECHNOLOGIES INC;3070 BRISTOL PIKE;BENSALEM;PA;19020;15-1121;Computer Systems Analysts;PROGRAMMER ANALYST;58989;;Year;Y;1;DAYTON;OH;58989;Year;OES;OFLC ONLINE DATA CENTER;2011;DAYTON;OH;58989;Year;OES;OFLC ONLINE DATA CENTER;2011;541511
I-200-09218-743460;DENIED;28.01.2011;07.02.2011;H-1B;20.02.2011;20.02.2014;DISCOVER PRODUCTS INC.;2500 LAKE COOK ROAD;RIVERWOODS;IL;60015;13-2051.00;Financial Analysts;SENIOR ASSOCIATE;47900;66495,75;Year;Y;1;RIVERWOOD;IL;47900;Year;Other;TOWER WATSON DATA SERVICES SURVEY REPORT ON ACCOUNTING & FINANCE PERSONNEL COMPENSATION;2010;;;;;;;;522210
I-200-09222-463072;CERTIFIED;05.05.2011;11.05.2011;H-1B;01.10.2011;30.09.2014;KOREAN AMERICAN RESOURCE & CULTURAL CENTER;6146 N. LINCOLN AVE.;CHICAGO;IL;60659;11-9151.00;Social and Community Service Managers;COMMUNITY ORGANIZER;17,31;;Hour;N;1;CHICAGO;IL;17,06;Hour;OES;N/A;2011;;;;;;;;624190
I-200-09222-742475;CERTIFIED;07.01.2011;13.01.2011;H-1B;31.03.2011;31.03.2014;C & D ZODIAC, INC.;5701 BOLSA AVE.;HUNTINGTON BEACH;CA;92647;27-1021.00;Commercial and Industrial Designers;DESIGN ENGINEER;50000;;Year;Y;1;LA PALMA;CA;46842;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;336411
I-200-09223-420702;CERTIFIED;10.12.2010;16.12.2010;H-1B;10.12.2010;10.09.2013;FLEX CONSULTING GROUP INC;485 ROUTE 1 SOUTH;EDISON;NJ;8817;15-1021.00;Computer Programmers;PROGRAMMER ANALYST;55000;;Year;Y;1;CHICAGO;IL;50357;Year;OES;OFLC ONLINE DATA CENTER;2010;EDISON;NJ;54163;Year;OES;OFLC ONLINE DATA CENTER;2010;541511
I-200-09223-968226;CERTIFIED;20.04.2011;26.04.2011;H-1B;01.10.2011;30.09.2014;CODESOFT INTERNATIONAL, INC.;SIX CONCOURSE PARKWAY, FIFTH FLOOR;ATLANTA;GA;30328;15-1051.00;Computer Systems Analysts;PROGRAMMER ANALYST;60000;90000;Year;Y;1;ATLANTA;GA;54974;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;541511
I-200-09223-150783;CERTIFIED;18.04.2011;22.04.2011;H-1B;01.10.2011;30.09.2014;ATHEROS COMMUNICATIONS, INC.;1700 TECHNOLOGY DRIVE;SAN JOSE;CA;95110;15-1032.00;Computer Software Engineers, Systems Software;SOFTWARE ENGINEER;99000;;Year;Y;1;SAN JOSE;CA;85904;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;334413
I-200-09224-582285;WITHDRAWN;12.11.2010;12.11.2010;H-1B;14.12.2010;14.12.2013;VLINK, INC.;635 FARMINGTON AVENUE;HARTFORD;CT;6105;15-1051.00;Computer Systems Analysts;SHAREPOINT ANALYST;60000;;Year;Y;1;HARTFORD;CT;63648;Year;OES;OFLC ONLINE DATA CENTER;2010;WORCESTER;MD;57741;Hour;OES;OFLC ONLINE DATA CENTER;2010;541511
I-203-09224-040497;CERTIFIED;24.03.2011;30.03.2011;E-3 Australian;21.04.2011;20.04.2013;DIAGEO CHATEAU & ESTATE WINES;1111 DUNAWEAL LANE;CALISTOGA;CA;94515;11-9011.02;Agricultural Crop Farm Managers;DIRECTOR OF VINEYEARD OPERATIONS;130000;145000;Year;Y;1;CALISTOGA;CA;114920;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;312111
I-200-09224-957398;CERTIFIED;07.10.2010;14.10.2010;H-1B;01.11.2010;31.10.2013;FAMILY HEALTH SERVICES OF DARKE COUNTY, INC.;5735 MEEKER ROAD;GREENVILLE;OH;45331-1180;29-1062.00;Family and General Practitioners;FAMILY PRACTICE PHYSICIANS;160000;;Year;Y;1;GREENVILLE;OH;117042;Year;Other;FLC DATA CENTER ONLINE WAGE LIBRARY;2010;;;;;;;;6211
I-200-09224-859178;DENIED;24.08.2011;30.08.2011;H-1B;01.10.2011;30.09.2012;TEXAS PARKS & WILDLIFE DEPARTMENT;4200 SMITH SCHOOL ROAD;AUSTIN;TX;78744;19-2043;Hydrologists;HYDROLOGIST;57498,96;;Year;Y;1;AUSTIN;TX;48339;Year;OES;OFLC ONLINE DATA CENTER;2011;;;;;;;;924120
I-200-09225-990417;CERTIFIED;19.05.2011;26.05.2011;H-1B;06.06.2011;05.06.2012;HEALTH RESEARCH INC - ROSWELL PARK CANCER INST. DI;ELM AND CARLTON STREETS;BUFFALO;NY;14263;19-1042.00;Medical Scientists, Except Epidemiologists;RESEARCH ASSOCIATE;26,64;;Hour;N;1;BUFFALO;NY;23,64;Hour;CBA;N/A;2010;;;;;;;;541710
I-200-09105-742344;CERTIFIED;21.12.2010;28.12.2010;H-1B;03.01.2011;02.01.2014;GLOBALNET SERVICES, INC.;11820 PARKLAWN DRIVE, SUITE 300;ROCKVILLE;MD;20852;15-1099.02;Computer Systems Engineers/Architects;CITRIX ENGINEER;100000;;Year;Y;1;ROCKVILLE;MD;98842;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;541511
I-200-09105-890703;CERTIFIED;05.07.2011;11.07.2011;H-1B;20.08.2011;19.08.2014;THINSILICON CORPORATION;1400 N. SHORELINE BOULEVARD;MOUNTAIN VIEW;CA;94043;17-2041.00;Chemical Engineers;PROCESS ENGINEERING MANAGER;120000;;Year;Y;1;MOUNTAIN VIEW;CA;102523;Year;OES;OFLC ONLINE DATA CENTER;2011;;;;;;;;334413
