CASE_NUMBER;CASE_STATUS;CASE_SUBMITTED;DECISION_DATE;VISA_CLASS;EMPLOYMENT_START_DATE;EMPLOYMENT_END_DATE;EMPLOYER_NAME;EMPLOYER_ADDRESS1;EMPLOYER_ADDRESS2;EMPLOYER_CITY;EMPLOYER_STATE;EMPLOYER_POSTAL_CODE;EMPLOYER_COUNTRY;EMPLOYER_PROVINCE;EMPLOYER_PHONE;EMPLOYER_PHONE_EXT;AGENT_ATTORNEY_NAME;AGENT_ATTORNEY_CITY;AGENT_ATTORNEY_STATE;JOB_TITLE;SOC_CODE;SOC_NAME;NAIC_CODE;TOTAL WORKERS;FULL_TIME_POSITION;PREVAILING_WAGE;PW_UNIT_OF_PAY;PW_WAGE_LEVEL;PW_WAGE_SOURCE;PW_WAGE_SOURCE_YEAR;PW_WAGE_SOURCE_OTHER;WAGE_RATE_OF_PAY;WAGE_UNIT_OF_PAY;H-1B_DEPENDENT;WILLFUL VIOLATOR;WORKSITE_CITY;WORKSITE_COUNTY;WORKSITE_STATE;WORKSITE_POSTAL_CODE;;;;
I-200-15196-476665;CERTIFIED;15.07.2015;21.07.2015;H-1B;08/20/2015;08/20/2018;ERNST & YOUNG U.S. LLP;200 PLAZA DRIVE;SUITE 2222;SECAUCUS;NJ;7094;UNITED STATES OF AMERICA;N/A;2018723003;;MARC WALSH;TORONTO;DC;ADVISORY SENIOR;13-1111;MANAGEMENT ANALYSTS;541211;1;Y;81827.00;Year;Level II;OES;2015;OFLC ONLINE DATA CENTER;108000 -;Year;N;N;ISELIN;HUDSON;NJ;8830;;;;
I-200-15196-477627;CERTIFIED;15.07.2015;21.07.2015;H-1B;07/26/2015;07/24/2018;INFOSYS LIMITED;6100 TENNYSON PARKWAY;SUITE 200;PLANO;TX;75024;UNITED STATES OF AMERICA;N/A;4694672608;;REBECCA VAN UITERT;CHICAGO;IL;SENIOR PROJECT MANAGER - US;15-1199;COMPUTER OCCUPATIONS, ALL OTHER;541511;1;Y;104478;Year;Level IV;OES;2015;OFLC ONLINE DATA CENTER;108536 -;Year;Y;N;HOUSTON;HARRIS;TX;77042;;;;
I-200-15196-477857;CERTIFIED;15.07.2015;21.07.2015;H-1B;09.01.2015;08/31/2018;PROMATRIX CORP;2015 LINCOLN HIGHWAY;SUITE 180;EDISON;NJ;8817;UNITED STATES OF AMERICA;;7329641444;;LAURIE SNIDER;DALLAS;TX;SOFTWARE ENGINEER;15-1132;SOFTWARE DEVELOPERS, APPLICATIONS;541511;1;Y;63128;Year;Level I;OES;2015;OFLC ONLINE DATA CENTER;65000 -;Year;Y;N;CHARLOTTE;MECKLENBURG;NC;28262;;;;
I-200-15196-478134;CERTIFIED;15.07.2015;21.07.2015;H-1B;07/15/2015;07/14/2018;IGATE TECHNOLOGIES INC.;99 WOOD AVE S STE 800;;ISELIN;NJ;8830;UNITED STATES OF AMERICA;N/A;5108963000;;JOHN BOUDIA;SOUTHFIELD;MI;PRINCIPAL ARCHITECT;15-1133;SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE;541511;3;Y;83658;Year;Level II;OES;2015;OFLC ONLINE DATA CENTER;83700 -;Year;Y;N;OAK BROOK;DUPAGE;IL;60523;;;;
I-200-15196-478338;CERTIFIED;16.07.2015;22.07.2015;H-1B;11/14/2015;11/14/2018;FAIR ISAAC CORPORATION;200 SMITH RANCH ROAD;;SAN RAFAEL;CA;94903;UNITED STATES OF AMERICA;;4154925640;;ANGELA MOORE;SAN FRANCISCO;CA;SOLUTION INTEGRATION - LEAD CONSULTANT;15-1121;COMPUTER SYSTEMS ANALYSTS;541511;1;Y;103750.00;Year;Level III;OES;2015;OFLC ONLINE DATA CENTER;103750 - 106000;Year;N;N;FAIRFAX;FAIRFAX;VA;22030;;;;
I-200-15196-478421;CERTIFIED;15.07.2015;21.07.2015;H-1B;07/15/2015;07/14/2018;FINSOFT CONSULTANTS, INC.;545 8TH AVENUE;SUITE 10SW;NEW YORK;NY;10018;UNITED STATES OF AMERICA;;2122399191;;KESHAB SEADIE;NEW YORK;NY;PROGRAMMER ANALYST;15-1121;COMPUTER SYSTEMS ANALYSTS;541512;1;Y;73798;Year;Level II;OES;2015;OFLC ONLINE DATA CENTER;85000 -;Year;Y;N;RALEIGH;WAKE;NC;27603;;;;
I-200-15196-479780;CERTIFIED;15.07.2015;21.07.2015;H-1B;07/26/2015;07/24/2018;INFOSYS LIMITED;6100 TENNYSON PARKWAY;SUITE 200;PLANO;TX;75024;UNITED STATES OF AMERICA;N/A;4694672608;;SUSAN GAO;FALLS CHURCH;VA;ASSOCIATE CONSULTANT - US;15-1121;COMPUTER SYSTEMS ANALYSTS;541511;1;Y;60133;Year;Level I;OES;2015;OFLC ONLINE DATA CENTER;64724 -;Year;Y;N;CARROLLTON;DALLAS;TX;75006;;;;
I-200-15196-479794;CERTIFIED;15.07.2015;21.07.2015;H-1B;07/20/2015;07/19/2018;V-SOFT CONSULTING GROUP, INC;2115 STANLEY GAULT PARKWAY;SUITE 200;LOUISVILLE;KY;40223;UNITED STATES OF AMERICA;;5024258425;111;LAURIE SNIDER;DALLAS;TX;SYSTEMS ANALYST;15-1121;COMPUTER SYSTEMS ANALYSTS;541511;1;Y;91021.00;Year;Level III;Other;2015;OFLC ONLINE DATA CENTER;110000.00 -;Year;Y;N;CHARLOTTE;MECKLENBURG COUNTY;NC;28202;;;;
I-200-15196-479888;CERTIFIED;15.07.2015;21.07.2015;H-1B;08/15/2015;08/14/2018;KWOKCHENG ENTERPRISE INC;400 NE 67TH STREET;N/A;MIAMI;FL;33138;UNITED STATES OF AMERICA;;3057583880;;MARIO CISNEROS;MIAMI;FL;MANAGEMENT ANALYST;13-1111;MANAGEMENT ANALYSTS;3119;1;Y;44491.00;Year;Level I;OES;2015;OFLC ONLINE DATA CENTER;45084.00 -;Year;N;N;MIAMI;MIAMI DADE;FL;33138;;;;
I-200-15196-482445;CERTIFIED-WITHDRAWN;15.07.2015;22.07.2015;H-1B;09/22/2015;09/22/2018;INFINITE CLOUD, LLC;59 KING ST;;HATFIELD;ME;1038;UNITED STATES OF AMERICA;;9175757443;;NADIR ISMAYIL;WILTON;CT;SENIOR SOFTWARE ENGINEER;15-1132;SOFTWARE DEVELOPERS, APPLICATIONS;511210;1;Y;75670;Year;Level II;OES;2015;OFLC ONLINE DATA CENTER;80000 - 90000;Year;N;N;AMHERST;HAMPSHIRE;MA;1002;;;;
I-200-15196-482783;CERTIFIED;15.07.2015;21.07.2015;H-1B;07/17/2015;07/16/2018;HSBC BANK USA, N.A.;95 WASHINGTON STREET, ATRIUM - 1NW;N/A;BUFFALO;NY;14203;UNITED STATES OF AMERICA;N/A;7168417508;;VALARIE MCPHERSON;NEWARK;NJ;VP RISK SYSTEMS II;13-2099;FINANCIAL SPECIALISTS, ALL OTHER;522110;1;Y;104957.00;Year;Level IV;OES;2015;OFLC ONLINE DATA CENTER;170000.00 -;Year;N;N;NEW YORK;NEW YORK;NY;10016;;;;
I-200-15196-482937;CERTIFIED;15.07.2015;21.07.2015;H-1B;07/26/2015;07/24/2018;INFOSYS LIMITED;6100 TENNYSON PARKWAY;SUITE 200;PLANO;TX;75024;UNITED STATES OF AMERICA;N/A;4694672608;;LARA CLARK;HOUSTON;TX;PROJECT MANAGER - US;15-1121;COMPUTER SYSTEMS ANALYSTS;541511;1;Y;103750;Year;Level III;OES;2015;OFLC ONLINE DATA CENTER;109354 -;Year;Y;N;WASHINGTON;DISTRICT OF COLUMBIA;DC;20002;;;;
I-200-15196-483596;CERTIFIED;15.07.2015;21.07.2015;H-1B;08.03.2015;08.02.2018;STINK DIGITAL USA LLC;20 JAY STREET, #404;N/A;NEW YORK;NY;11201;UNITED STATES OF AMERICA;N/A;6465044850;;CLIFFORD ROSENTHAL;SANTA MONICA;CA;SENIOR DEVELOPER;15-1132;SOFTWARE DEVELOPERS, APPLICATIONS;54181;1;Y;120453;Year;Level IV;OES;2015;OFLC ONLINE DATA CENTER;135000 -;Year;N;N;SANTA MONICA;LOS ANGELES;CA;90404;;;;
I-200-15196-485181;CERTIFIED;20.07.2015;24.07.2015;H-1B;08.01.2015;07/31/2018;WASHINGTON UNIVERSITY IN ST. LOUIS;ONE BROOKINGS DRIVE;SUITE 310;ST. LOUIS;MO;63130;UNITED STATES OF AMERICA;;3149355910;;LAWRENCE RUDNICK;PHILADELPHIA;PA;ASSISTANT PROFESSOR;25-1071;HEALTH SPECIALTIES TEACHERS, POSTSECONDARY;611310;1;Y;99740;Year;Level III;OES;2015;OFLC ONLINE DATA CENTER;231000 -;Year;N;N;ST. LOUIS;ST. LOUIS;MO;63110;;;;
I-200-15196-485553;CERTIFIED-WITHDRAWN;15.07.2015;15.09.2015;H-1B;07/22/2015;03.08.2018;SOFTPATH SYSTEM LLC;3985 STEVE REYNOLDS BLVD.;BUILDING C;NORCROSS;GA;30093;UNITED STATES OF AMERICA;N/A;4043151555;315;PRISCILLA MUHLENKAMP;WASHINGTON;DC;PROGRAMMER ANALYST;15-1131;COMPUTER PROGRAMMERS;541511;1;Y;51730.00;Year;Level I;OES;2015;OFLC ONLINE DATA CENTER;60000 -;Year;Y;N;BEDMINSTER;SOMERSET;NJ;7921;;;;
I-200-15196-486094;CERTIFIED;15.07.2015;21.07.2015;H-1B;07/20/2015;07/20/2018;SELSOFT, INC.;303 S. JUPITER, SUITE 110;SUITE 320;ALLEN;TX;75002;UNITED STATES OF AMERICA;N/A;9724990329;;PRISCILLA MUHLENKAMP;WASHINGTON;DC;PROGRAMMER ANALYST;15-1131;COMPUTER PROGRAMMERS;541511;1;Y;58053;Year;Level I;OES;2015;OFLC ONLINE DATA CENTER;58053 -;Year;Y;N;NEW YORK;NEW YORK;NY;10285;;;;
I-200-15196-486202;CERTIFIED;15.07.2015;21.07.2015;H-1B;07/15/2015;07/14/2018;TECH MAHINDRA (AMERICAS),INC.;4965 PRESTON PARK BOULEVARD;SUITE # 500;PLANO;TX;75093;UNITED STATES OF AMERICA;N/A;9729912900;;PRISCILLA MUHLENKAMP;WASHINGTON;DC;SYSTEMS ENGINEER;15-1199;COMPUTER OCCUPATIONS, ALL OTHER;541511;1;Y;68141;Year;Level II;OES;2015;OFLC ONLINE DATA CENTER;68141 -;Year;Y;N;SAINT LOUIS;ST. LOUIS CITY;MO;63101;;;;
I-200-15196-486465;CERTIFIED;15.07.2015;21.07.2015;H-1B;07/15/2015;07/14/2018;IGATE TECHNOLOGIES INC.;99 WOOD AVE S STE 800;SUITE 320;ISELIN;NJ;8830;UNITED STATES OF AMERICA;N/A;5108963000;;PRISCILLA MUHLENKAMP;WASHINGTON;DC;COMPUTER PROGRAMMER;15-1131;COMPUTER PROGRAMMERS;541511;20;Y;73923;Year;Level II;OES;2015;OFLC ONLINE DATA CENTER;74000 -;Year;Y;N;ANNANDALE;HUNTERDON;NJ;8801;;;;
I-200-15196-486817;CERTIFIED;22.07.2015;28.07.2015;H-1B;07/22/2015;07/14/2018;TATA CONSULTANCY SERVICES LIMITED;9201 CORPORATE BOULEVARD;SUITE 320;ROCKVILLE;MD;20850;UNITED STATES OF AMERICA;N/A;3012319083;;VIC GOEL;RESTON;VA;DEVELOPER;15-1131;COMPUTER PROGRAMMERS;541511;1;Y;62358.00;Year;Level II;OES;2015;OFLC ONLINE DATA CENTER;63500.00 -;Year;Y;N;PATASKALA;LICKING;OH;43062;;;;
I-200-15196-487339;CERTIFIED;15.07.2015;21.07.2015;H-1B;07/15/2015;07/14/2018;YASH TECHNOLOGIES, INC.;605 17TH AVENUE;SUITE 320;EAST MOLINE;IL;61244;UNITED STATES OF AMERICA;N/A;3097550433;;KESHAB SEADIE;NEW YORK;NY;PROGRAMMER ANALYST;15-1121;COMPUTER SYSTEMS ANALYSTS;541512;1;Y;59842.00;Year;Level I;OES;2015;OFLC ONLINE DATA CENTER;62000 - 70000;Year;Y;N;SANTA MONICA;LOS ANGELES;CA;90405;;;;
I-200-15196-488266;CERTIFIED;16.07.2015;22.07.2015;H-1B;07/27/2015;07/26/2018;MICROSOFT CORPORATION;1 MICROSOFT WAY;SUITE 320;REDMOND;WA;98052;UNITED STATES OF AMERICA;N/A;4258828080;;PRISCILLA MUHLENKAMP;WASHINGTON;DC;SOFTWARE ENGINEER;15-1132;SOFTWARE DEVELOPERS, APPLICATIONS;51121;1;Y;101088.00;Year;Level II;OES;2015;OFLC ONLINE DATA CENTER;111500 -;Year;N;N;REDMOND;KING;WA;98052;;;;
I-200-15196-488343;WITHDRAWN;15.07.2015;15.07.2015;H-1B;07/27/2015;07/27/2018;XAD, INC.;401 PARK AVENUE SOUTH;11TH FLOOR;NEW YORK;NY;10016;UNITED STATES OF AMERICA;N/A;4158575163;;CATHERINE GILLESPIE;SAN FRANCISCO;CA;SENIOR SOFTWARE ENGINEER - SCALA;15-1133;SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE;511210;1;Y;138403.00;Year;Level III;OES;2015;OFLC ONLINE DATA CENTER;145000 -;Year;N;N;MOUNTAIN VIEW;SANTA CLARA;CA;94043;;;;
I-200-15196-488714;CERTIFIED;20.07.2015;24.07.2015;H-1B;07/22/2015;07/21/2018;ACCENTURE LLP;161 N. CLARK ST.;N/A;CHICAGO;IL;60601;UNITED STATES OF AMERICA;N/A;3126930161;;OISHIKA GUPTA;CHICAGO;IL;COMPUTER SPECIALIST/TESTING AND QUALITY ANALYST 2;15-1199;COMPUTER OCCUPATIONS, ALL OTHER;5416;1;Y;81515.00;Year;Level II;OES;2015;OFLC ONLINE DATA CENTER;81515.00 -;Year;N;N;RICHARDSON;DALLAS;TX;75081;;;;
I-200-15196-489571;CERTIFIED;15.07.2015;21.07.2015;H-1B;07/15/2015;07/14/2018;INTONE NETWORKS INC.;10 AUSTIN AVENUE;SUITE 320;ISELIN;NJ;8830;UNITED STATES OF AMERICA;N/A;7327213002;;MICHELLE SHEPARD;WOBURN;MA;.NET DEVELOPER;15-1132;SOFTWARE DEVELOPERS, APPLICATIONS;541519;1;Y;78957.00;Year;Level II;Other;2015;OFLC ONLINE DATA CENTER;90000.00 -;Year;Y;N;EARTH CITY;SAINT LOUIS;MO;63045;;;;
I-200-15196-489838;CERTIFIED;20.07.2015;24.07.2015;H-1B;07/22/2015;07/21/2018;ACCENTURE LLP;161 N. CLARK ST.;N/A;CHICAGO;IL;60601;UNITED STATES OF AMERICA;N/A;3126930161;;OISHIKA GUPTA;CHICAGO;IL;COMPUTER PROGRAMMER/CONFIGURER 2;15-1131;COMPUTER PROGRAMMERS;5416;1;Y;76357.00;Year;Level II;OES;2015;OFLC ONLINE DATA CENTER;76357 -;Year;N;N;PENNINGTON;MERCER;NJ;8534;;;;
I-200-15196-491581;DENIED;03.08.2015;10.08.2015;H-1B;10/31/2015;10/30/2018;ABDO EICK AND MEYERS LLP;5201 EDEN AVENUE;SUITE 250;EDINA;MN;55436;UNITED STATES OF AMERICA;N/A;9528359090;;SANDRA FEIST;MINNEAPOLIS;MN;SENIOR ACCOUNTANT;13-2011;ACCOUNTANTS AND AUDITORS;541211;1;Y;63748.00;Year;Level II;Other;2013;AMERICAN ACCOUNTING ASSOCIATION MINN-DAK CHAPTER SALARY SURVEY;64000 -;Year;N;N;EDINA;HENNEPIN;MN;55436;;;;
I-200-15196-492367;CERTIFIED;16.07.2015;22.07.2015;H-1B;07/16/2015;08.05.2016;TATA CONSULTANCY SERVICES LIMITED;9201 CORPORATE BOULEVARD;SUITE 320;ROCKVILLE;MD;20850;UNITED STATES OF AMERICA;N/A;3012319083;;PRISCILLA MUHLENKAMP;WASHINGTON;DC;DEVELOPER USER INTERFACE;15-1134;WEB DEVELOPERS;541511;1;Y;61797;Year;Level II;OES;2015;OFLC ONLINE DATA CENTER;69600 -;Year;Y;N;SILVER SPRING;MONTGOMERY;MD;20904;;;;
I-200-15196-492602;CERTIFIED;16.07.2015;22.07.2015;H-1B;01.12.2016;01.11.2019;ENTERGY SERVICES, INC;639 LOYOLA AVENUE;SUITE 320;NEW ORLEANS;LA;70113;UNITED STATES OF AMERICA;N/A;5045764000;;PRISCILLA MUHLENKAMP;WASHINGTON;DC;IT SPECIALIST, SR;15-1121;COMPUTER SYSTEMS ANALYSTS;22110;1;Y;82763.00;Year;Level II;OES;2015;OFLC ONLINE DATA CENTER;85667.20 -;Year;N;N;THE WOODLANDS;MONTGOMERY;TX;77380;;;;
I-200-15196-495204;CERTIFIED;20.07.2015;24.07.2015;H-1B;10.01.2015;10.01.2018;INFOGAIN CORPORATION;485 ALBERTO WAY;SUITE 100;LOS GATOS;CA;95032;UNITED STATES OF AMERICA;N/A;4083557066;;HELGA CARSON;PALO ALTO;CA;LEAD ANALYST;15-1121;COMPUTER SYSTEMS ANALYSTS;541511;1;Y;108493.00;Year;Level III;OES;2015;OFLC ONLINE DATA CENTER;111010 -;Year;Y;N;LOS GATOS;SANTA CLARA;CA;95032;;;;
I-200-15196-495378;CERTIFIED;15.07.2015;21.07.2015;H-1B;07/22/2015;07/21/2018;CONFIG CONSULTANTS CORPORATION;5201 GREAT AMERICA PARKWAY;SUITE 272;SANTA CLARA;CA;95054;UNITED STATES OF AMERICA;N/A;4085121583;;DANA MICHAEL RITTER;PLEASANTON;CA;SAP SOLMAN & INTEGRATION ANALYST;15-1121;COMPUTER SYSTEMS ANALYSTS;541511;1;Y;70762.00;Year;Level I;OES;2015;OFLC ONLINE DATA CENTER;70762 -;Year;N;N;BRIDGEWATER;SOMERSET;NJ;8807;;;;
I-200-15196-495893;CERTIFIED;16.07.2015;22.07.2015;H-1B;11/25/2015;11/24/2018;BAYLOR COLLEGE OF MEDICINE;ONE BAYLOR PLAZA;SUITE 320;HOUSTON;TX;77030;UNITED STATES OF AMERICA;N/A;7137984604;;PRISCILLA MUHLENKAMP;WASHINGTON;DC;POSTDOCTORAL ASSOCIATE/FELLOW;19-1021;BIOCHEMISTS AND BIOPHYSICISTS;611310;1;Y;42578;Year;Level I;OES;2015;OFLC ONLINE DATA CENTER;48192 -;Year;N;N;HOUSTON;HARRIS;TX;77030;;;;
I-200-15196-497170;CERTIFIED;15.07.2015;21.07.2015;H-1B;07/15/2015;07/14/2018;FUJITSU AMERICA, INC.;2821 TELECOM PARKWAY;SUITE 320;RICHARDSON;TX;75082;UNITED STATES OF AMERICA;N/A;8009446055;;PRISCILLA MUHLENKAMP;WASHINGTON;DC;COMPUTER PROGRAMMER;15-1131;COMPUTER PROGRAMMERS;541510;6;Y;69867.00;Year;Level III;OES;2015;OFLC ONLINE DATA CENTER;69867.00 -;Year;N;N;PITTSBURGH;ALLEGHENY;PA;15205;;;;
I-200-15196-497993;CERTIFIED;16.07.2015;22.07.2015;H-1B;08.03.2015;08.03.2018;CAREMARK, LLC;ONE CVS DRIVE;SUITE 320;WOONSOCKET;RI;2895;UNITED STATES OF AMERICA;N/A;4017704896;;LAURA REIFF;MCLEAN;VA;ADVISOR, BENEFIT PLAN TESTING;15-1199;COMPUTER OCCUPATIONS, ALL OTHER;424210;1;Y;83700;Year;Level II;Other;2014;US MBD MERCER BENCHMARK DATABASE IT SURVEY;90000 - 120000;Year;N;N;IRVING;DALLAS;TX;75039;;;;
I-200-15196-498235;CERTIFIED;15.07.2015;21.07.2015;H-1B;07/31/2015;12/31/2015;IBM INDIA PRIVATE LIMITED;3039 CORNWALLIS ROAD;3RD FLOOR;DURHAM;NC;27709;UNITED STATES OF AMERICA;;9192541561;;DAVID JACOBSON;NEW YORK;NY;JAVA APPLICATION DEVELOPER;15-1131;COMPUTER PROGRAMMERS;541510;1;Y;61630;Year;Level II;OES;2015;OFLC ONLINE DATA CENTER;64043 - 67813;Year;N;N;PORTLAND;MULTNOMAH;OR;97204;;;;
I-200-15196-498456;CERTIFIED;15.07.2015;21.07.2015;H-1B;09.09.2015;09.08.2018;VENSOFT, INC.;13934 N. 59TH AVENUE;SUITE 140;GLENDALE;AZ;85306;UNITED STATES OF AMERICA;N/A;6028962919;;VAMAN KIDAMBI;TRUMBULL;CT;PROGRAMMER ANALYST;15-1131;COMPUTER PROGRAMMERS;541511;1;Y;68682.00;Year;Level II;OES;2015;OFLC ONLINE DATA CENTER;68682.00 -;Year;Y;N;SAN RAMON;CONTRA COSTA;CA;94583;;;;
I-200-15196-499879;CERTIFIED;16.07.2015;22.07.2015;H-1B;07/23/2015;07/22/2018;MINDTREE LIMITED;25 INDEPENDENCE BLVD.;STE 401;WARREN;NJ;7059;UNITED STATES OF AMERICA;N/A;9086048080;;MARIANA KULIKOWSKA;TROY;MI;TEST LEAD;15-1199.01;SOFTWARE QUALITY ASSURANCE ENGINEERS AND TESTERS;541511;20;Y;68349.00;Year;Level II;OES;2015;OFLC ONLINE DATA CENTER;79679.00 - 99679.00;Year;Y;N;NEW HAVEN;NEW HAVEN;CT;6511;;;;
I-200-15196-500087;CERTIFIED;16.07.2015;22.07.2015;H-1B;07/16/2015;07/15/2018;VIRGO INC.;333 N. OXFORD VALLEY ROAD, SUITE #405;SUITE 320;FAIRLESS HILLS;PA;19030;UNITED STATES OF AMERICA;N/A;2159329626;;SOPHIA ASARE;HOUSTON;TX;PROGRAMMER ANALYST;15-1121;COMPUTER SYSTEMS ANALYSTS;541512;1;Y;59717.00;Year;Level I;OES;2015;OFLC ONLINE DATA CENTER;62000.00 - 62000.00;Year;Y;N;FAIRLESS HILLS;BUCKS;PA;19030;;;;
I-200-15196-500560;CERTIFIED;20.07.2015;24.07.2015;H-1B;08.03.2015;08.02.2018;STATE STREET BANK AND TRUST COMPANY;STATE STREET FINANCIAL CENTER, ONE LINCOLN STREET;MAILSTOP: SFC14;BOSTON;MA;2111;UNITED STATES OF AMERICA;N/A;6176645582;;CHRISTINE GANNON;BOSTON;MA;RISK MANAGER;13-2099;FINANCIAL SPECIALISTS, ALL OTHER;522110;1;Y;85862;Year;Level III;OES;2015;OFLC ONLINE DATA CENTER;86000 - 110000;Year;N;N;BOSTON;SUFFOLK;MA;2111;;;;
I-200-15196-501195;CERTIFIED;15.07.2015;21.07.2015;H-1B;07/26/2015;07/24/2018;INFOSYS LIMITED;6100 TENNYSON PARKWAY;SUITE 200;PLANO;TX;75024;UNITED STATES OF AMERICA;N/A;4694672608;;PRISCILLA MUHLENKAMP;WASHINGTON;DC;PROJECT MANAGER - US;15-1121;COMPUTER SYSTEMS ANALYSTS;541511;1;Y;89086;Year;Level III;OES;2015;OFLC ONLINE DATA CENTER;102292 -;Year;Y;N;IRVINE;ORANGE;CA;92618;;;;
I-200-15196-501826;CERTIFIED;16.07.2015;22.07.2015;H-1B;07/17/2015;07/16/2018;ANVETA, INC.;1333 CORPORATE DR., STE. 108;SUITE 320;IRVING;TX;75038;UNITED STATES OF AMERICA;N/A;4697132616;;SOPHIA ASARE;HOUSTON;TX;SYSTEMS  ANALYST;15-1121;COMPUTER SYSTEMS ANALYSTS;541330;1;Y;60133.00;Year;Level I;OES;2015;OFLC ONLINE DATA CENTER;61000 -;Year;Y;N;IRVING;DALLAS;TX;75038;;;;
I-200-15196-501830;CERTIFIED;17.07.2015;23.07.2015;H-1B;07/17/2015;07/29/2017;TATA CONSULTANCY SERVICES LIMITED;9201 CORPORATE BOULEVARD;SUITE 320;ROCKVILLE;MD;20850;UNITED STATES OF AMERICA;N/A;3012319083;;VIC GOEL;RESTON;VA;DEVELOPER USER INTERFACE;15-1134;WEB DEVELOPERS;541511;1;Y;54413.00;Year;Level II;OES;2015;OFLC ONLINE DATA CENTER;66000 -;Year;Y;N;MINNEAPOLIS;HENNEPIN;MN;55402;;;;
I-200-15196-503087;CERTIFIED;15.07.2015;21.07.2015;H-1B;07/15/2015;07/14/2018;LOGIC PLANET, INC.;101 COLLEGE RD. EAST, 2ND FLOOR;N/A;PRINCETON;NJ;8540;UNITED STATES OF AMERICA;N/A;7325120009;;CHANDLER SHARMA;NEW YORK;NY;SR.PROGRAMMER ANALYST;15-1131;COMPUTER PROGRAMMERS;541511;1;Y;58053.00;Year;Level I;OES;2015;OFLC ONLINE DATA CENTER;63170.00 -;Year;Y;N;BROOKLYN;KINGS;NY;11201;;;;
I-200-15196-505684;CERTIFIED;15.07.2015;21.07.2015;H-1B;09.09.2015;03/20/2016;DYNA CONSULTING SERVICES, INC;960 CLOCKTOWER DRIVE, SUITE I;SUITE 600;SPRINGFIELD;IL;62704;UNITED STATES OF AMERICA;;2175465252;;LAURIE SNIDER;DALLAS;TX;PROGRAMMER ANALYST;15-1131;COMPUTER PROGRAMMERS;541511;1;Y;53331.00;Year;Level II;OES;2015;OFLC ONLINE DATA CENTER;58240.00 -;Year;Y;N;TULSA;TULSA;OK;74135;;;;
I-200-15196-506281;CERTIFIED;15.07.2015;21.07.2015;H-1B;07/15/2015;07/15/2018;LIQUIDHUB, INC.;500 E SWEDESFORD ROAD;SUITE 300;WAYNE;PA;19087;UNITED STATES OF AMERICA;N/A;4846541400;;DIYA MATHEWS;EDISON;NJ;SR. ASSOCIATE;15-1132;SOFTWARE DEVELOPERS, APPLICATIONS;541511;1;Y;81619.00;Year;Level II;OES;2015;OFLC ONLINE DATA CENTER;85000 -;Year;N;N;WAYNE;DELAWARE;PA;19087;;;;
I-200-15196-506390;WITHDRAWN;15.07.2015;15.07.2015;H-1B;07/20/2015;07/20/2018;VERTIV INC;5 VAUGHN DRIVE;SUITE 310;PRINCETON;NJ;8540;UNITED STATES OF AMERICA;N/A;6098979535;;PRISCILLA MUHLENKAMP;WASHINGTON;DC;PROGRAMMER ANALYST;15-1121;COMPUTER SYSTEMS ANALYSTS;541511;1;Y;61797;Year;Level I;OES;2015;OFLC ONLINE DATA CENTER;65000 -;Year;Y;N;NEW YORK CITY;NEW YORK;NY;10017;;;;
I-200-15196-506778;CERTIFIED;16.07.2015;22.07.2015;H-1B;08.10.2015;08.10.2018;CAREMARK, LLC;ONE CVS DRIVE;SUITE 320;WOONSOCKET;RI;2895;UNITED STATES OF AMERICA;N/A;4017704896;;LAURA REIFF;MCLEAN;VA;SENIOR ANALYST, IT QUALITY ASSURANCE;15-1199;COMPUTER OCCUPATIONS, ALL OTHER;424210;1;Y;71365;Year;Level II;OES;2015;OFLC ONLINE DATA CENTER;71365 - 109600;Year;N;N;MONROEVILLE;ALLEGHENY;PA;15146;;;;
I-200-15196-506838;CERTIFIED;15.07.2015;21.07.2015;H-1B;12.04.2015;12.03.2018;SAMSUNG AUSTIN SEMICONDUCTOR LLC;12100 SAMSUNG BLVD;N/A;AUSTIN;TX;78754;UNITED STATES OF AMERICA;N/A;5126721044;;CAROLINE TANG;AUSTIN;TX;SENIOR VERIFICATION ENGINEER;17-2072;ELECTRONICS ENGINEERS, EXCEPT COMPUTER;334413;1;Y;68661.00;Year;Level I;OES;2015;OFLC ONLINE DATA CENTER;81245.00 - 94639.00;Year;N;N;AUSTIN;TRAVIS;TX;78730;;;;
I-200-15196-506943;CERTIFIED;15.07.2015;21.07.2015;H-1B;10.01.2015;04.01.2016;GRANT THORNTON LLP;175 W. JACKSON BLVD.;20TH FLOOR;CHICAGO;IL;60604;UNITED STATES OF AMERICA;N/A;3126028326;;SUSIE SHIN;CHICAGO;IL;BAS SENIOR ASSOCIATE;15-1121;COMPUTER SYSTEMS ANALYSTS;541219;1;Y;83450;Year;Level III;OES;2015;OFLC ONLINE DATA CENTER;83500 - 93500;Year;N;N;CHICAGO;COOK;IL;60604;;;;
